character,degree_centrality,strength,eigenvector
AVALANCHE/DOMINIC PE,0.04410622767510483,869,0.007899575433153904
MOLE MAN/HARVEY RUPE,0.052026712222394786,866,0.016373648886487062
JACK OF HEARTS/JACK,0.05156080136667184,864,0.010331164832623363
SPIDER-WOMAN/JESSICA,0.04628047833514521,863,0.009972614914376258
THENA,0.03727286845783507,862,0.005126537078324586
COUNTERWEIGHT II/KAT,0.0340114924677745,862,0.005840189124074461
TOAD/MORTIMER TOYNBE,0.043640316819381894,858,0.013244273264985696
REDWING,0.04193197701506445,854,0.01288337041463484
DARKSTAR/LAYNIA SERG,0.05187140860382047,851,0.011592825640348643
"WING, COLLEEN",0.03727286845783507,850,0.0053428724675514475
BULLDOZER/HENRY CAMP,0.027488740487653363,844,0.013544602474511312
"HOGAN, HAROLD J. HAP",0.03820469016928094,843,0.014635488307008596
LIGHTSPEED/JULIE POW,0.03230315266345706,843,0.0056465828788601884
COUNTERWEIGHT/JACK P,0.03230315266345706,843,0.0056465828788601884
"LEEDS, NED",0.028731169436247865,838,0.006599002163217413
JUGGERNAUT/CAIN MARK,0.05062897965522597,837,0.009562797342334894
HELLSTORM/DAIMON HEL,0.04301910234508464,833,0.00885524314640739
"DE LA FONTAINE, CONT",0.04177667339649014,830,0.00861712903688639
PENANCE/MONET ST. CR,0.025314489827612984,820,0.002052743387883194
MAXIMUS [INHUMAN],0.027644044106227676,817,0.010814800799016835
IKARIS/IKE HARRIS [E,0.04068954806646995,813,0.005725384339476546
"JAMESON, MARLA MADIS",0.0400683335921727,808,0.005812569594106958
GHOST RIDER III/DAN,0.045969871097996585,801,0.005380578302105479
"JONES, GABE",0.03571983227209194,797,0.01036497943156937
TITANIA II/MARY SKEE,0.039291815499301136,795,0.01226107545209658
MACHINE MAN/X-51,0.04068954806646995,793,0.012412274408760799
"O'BRIEN, MICHAEL",0.04488274576797639,790,0.011600422678977181
STINGRAY/DR. WALTER,0.044416834912253456,790,0.010281640628259245
DAYTRIPPER/AMANDA SE,0.03727286845783507,782,0.0072159159719584805
LUNA/LUNA MAXIMOFF [,0.039291815499301136,782,0.01315803171444718
WIZARD/BENTLEY WITTM,0.038359993787855255,778,0.015873205369682404
NOMAD III/JACK MONRO,0.03183724180773412,777,0.007432288215946167
SHANNA/SHANNA O'HARA,0.04488274576797639,759,0.005565195570149183
JOCASTA,0.03494331417922038,755,0.01987132413939927
FERAL/MARIA CALLASAN,0.03012890200341668,751,0.004904578796413569
CHARCOAL/CHARLIE BUR,0.03587513589066625,750,0.0058319233394330304
"STACY, GWEN",0.01397732567168815,746,0.006345556754960826
"SITWELL, JASPER",0.037583475694983694,744,0.010777481998196045
SHANG-CHI,0.019723559558937724,741,0.002699559596113653
CH'OD,0.02686752601335611,737,0.008474696402382858
DEATH,0.04472744214940208,736,0.010717372569496945
TALISMAN II/ELIZABET,0.026556918776207486,734,0.004472323646260877
X-MAN/NATHAN GREY,0.0400683335921727,733,0.008285999163290009
TURBO II (A)/MICHIKO,0.03789408293213232,733,0.003670213992690211
RAZA LONGKNIFE,0.0267122223947818,727,0.008454533468636036
SWORDSMAN/JACQUES DU,0.027488740487653363,726,0.018102677938360942
HYPERION,0.029352383910545118,721,0.006812641082771798
DESTINY II/IRENE ADL,0.03680695760211213,718,0.007275188203828563
"CUSHING, KATE",0.02609100792048455,717,0.005018182415147587
BETA RAY BILL,0.036962261220686445,717,0.007204522758248919
HOBGOBLIN V/JASON PH,0.030905420096288244,715,0.004605935884657488
MAM'SELLE HEPZIBAH,0.025469793446187296,709,0.008454927233985202
FIREBIRD/BONITA JUAR,0.033234974374902936,705,0.015132404589857842
